TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
film  | 2001 | A.I. Artificial Intelligence                                   | --            | --                     | --                       | --
film  | 2001 | Cats & Dogs                                                    | --            | --                     | --                       | --
film  | 2001 | Donnie Darko                                                   | --            | --                     | --                       | --
film  | 2001 | Evolution                                                      | --            | --                     | --                       | --
film  | 2001 | Halloweentown II: Kalabar's Revenge                            | --            | --                     | --                       | --
film  | 2001 | Harry Potter and the Philosopher's Stone                       | --            | --                     | --                       | --
film  | 2001 | Jason X                                                        | --            | --                     | --                       | --
film  | 2001 | Kiss of the Dragon                                             | --            | --                     | --                       | --
film  | 2001 | Ocean's Eleven                                                 | --            | --                     | --                       | --
film  | 2001 | Pootie Tang                                                    | --            | --                     | --                       | --
film  | 2001 | Spy Kids                                                       | --            | --                     | --                       | --
film  | 2001 | The Lord of the Rings: Fellowship of the Ring                  | --            | --                     | --                       | --
film  | 2001 | The Mummy Returns                                              | --            | --                     | --                       | --
film  | 2001 | The One                                                        | --            | --                     | --                       | --
film  | 2001 | The PriceMaster                                                | --            | --                     | --                       | --
film  | 2001 | The Princess Diaries                                           | --            | --                     | --                       | --
film  | 2001 | Thir13en Ghosts                                                | --            | --                     | --                       | --
film  | 2002 | Catch Me If You Can                                            | --            | --                     | --                       | --
film  | 2002 | City of God                                                    | --            | --                     | crime history            | --
film  | 2002 | Gangs of New York                                              | --            | --                     | --                       | --
film  | 2002 | Harry Potter and the Chamber of Secrets                        | --            | --                     | --                       | --
film  | 2002 | Hero                                                           | --            | --                     | --                       | --
film  | 2002 | Rabbits                                                        | --            | --                     | --                       | --
film  | 2002 | Red Dragon                                                     | --            | --                     | --                       | --
film  | 2002 | Road to Perdition                                              | --            | --                     | --                       | --
film  | 2002 | Scooby-Doo                                                     | --            | --                     | --                       | --
film  | 2002 | Spider-Man                                                     | --            | --                     | --                       | --
film  | 2002 | Star Wars: Episode II – Attack of the Clones                   | --            | --                     | --                       | --
film  | 2002 | The Bourne Identity                                            | --            | --                     | --                       | --
film  | 2002 | The Lord of the Rings: The Two Towers                          | --            | --                     | --                       | --
film  | 2002 | The Scorpion King                                              | --            | --                     | --                       | --
film  | 2003 | Angels in America                                              | --            | --                     | --                       | --
film  | 2003 | Cradle 2 the Grave                                             | --            | --                     | --                       | --
film  | 2003 | Elf                                                            | --            | --                     | --                       | --
film  | 2003 | Holes                                                          | --            | --                     | --                       | --
film  | 2003 | House of 1000 Corpses                                          | --            | --                     | --                       | --
film  | 2003 | Hulk                                                           | --            | --                     | --                       | --
film  | 2003 | Inspector Gadget 2                                             | --            | --                     | --                       | --
film  | 2003 | Ong-Bak                                                        | --            | --                     | --                       | --
film  | 2003 | Pirates of the Caribbean: The Curse of the Black Pearl         | --            | --                     | --                       | --
film  | 2003 | Terminator 3: Rise of the Machines                             | --            | --                     | --                       | --
film  | 2003 | The Bone Snatcher                                              | --            | --                     | --                       | --
film  | 2003 | The Core                                                       | --            | --                     | --                       | --
film  | 2003 | The League of Extraordinary Gentlemen                          | --            | --                     | --                       | --
film  | 2003 | The Lord of the Rings: The Return of the King                  | --            | --                     | --                       | --
film  | 2003 | Underworld                                                     | --            | --                     | --                       | --
film  | 2004 | AVP: Alien vs. Predator                                        | --            | --                     | --                       | --
film  | 2004 | Blade: Trinity                                                 | --            | --                     | --                       | --
film  | 2004 | Casshern                                                       | --            | --                     | --                       | --
film  | 2004 | Ella Enchanted                                                 | --            | --                     | --                       | --
film  | 2004 | Finding Neverland                                              | --            | --                     | --                       | --
film  | 2004 | Harry Potter and the Prisoner of Azkaban                       | --            | --                     | --                       | --
