 _ | film  | 1979 | The Warriors                                                   | --
 x | film  | 1994 | Miracle on 34th Street                                         | --
 x | film  | 1994 | Pulp Fiction                                                   | ♥ ★★★★ why is vince always in the bathroom
 x | film  | 1994 | The Crow                                                       | --
 x | film  | 1994 | The Hudsucker Proxy                                            | --
 x | film  | 1994 | The Mask                                                       | --
 x | film  | 1994 | The Next Karate Kid                                            | --
 x | film  | 1994 | The Shawshank Redemption                                       | --
 x | film  | 1994 | True Lies                                                      | --
 x | film  | 1995 | Babe                                                           | --
 x | film  | 1995 | Braveheart                                                     | --
 x | film  | 1995 | Casino                                                         | --
 x | film  | 1995 | Friday                                                         | --
 x | film  | 1995 | GoldenEye                                                      | --
 x | film  | 1995 | Hackers                                                        | --
 x | film  | 1995 | Johnny Mnemonic                                                | ♥ ★★★★★ Just garbage!
 x | film  | 1995 | Judge Dredd                                                    | ♥
 x | film  | 1995 | Jumanji                                                        | --
 x | film  | 1995 | Lumière & Company                                              | --
 x | film  | 1995 | Mortal Kombat                                                  | --
 x | film  | 1995 | Se7en                                                          | --
 x | film  | 1995 | The Indian in the Cupboard                                     | --
 x | film  | 1995 | The Prophecy                                                   | ♥ ★★★ Really funny, not sure what to do with the information that there are 5 of these.
 x | film  | 1996 | DragonHeart                                                    | --
 x | film  | 1996 | Escape from L.A.                                               | ♥ ★★★ I hate it when the government injects me with a time-delay virus so that I an forced to do missions in exchange for the antidote. Relatable.
 x | film  | 1996 | Fargo                                                          | ♥ ★★★★★
 x | film  | 1996 | From Dusk Till Dawn                                            | --
 x | film  | 1996 | Harriet the Spy                                                | --
 x | film  | 1996 | Homeward Bound II: Lost in San Francisco                       | --
 x | film  | 1996 | Independence Day                                               | --
 x | film  | 1996 | James and the Giant Peach                                      | --
 x | film  | 1996 | Kazaam                                                         | --
 x | film  | 1996 | Lawnmower Man 2: Beyond Cyberspace                             | ★ execute worm function
 x | film  | 1996 | Matilda                                                        | --
 x | film  | 1996 | Mission: Impossible                                            | --
 x | film  | 1996 | Muppet Treasure Island                                         | --
 x | film  | 1996 | Sling Blade                                                    | --
 x | film  | 1996 | Space Jam                                                      | --
 x | film  | 1996 | Star Trek: First Contact                                       | ♥ ★★★ this is how they retcon the borg queen into existence: [queen] hello, remember me? [picard] yes. i remember now, you were there the whole time
 x | film  | 1996 | The Hunchback of Notre Dame                                    | --
 x | film  | 1996 | The Quest                                                      | --
 x | film  | 1996 | The Rock                                                       | --
 x | film  | 1996 | Tremors 2: Aftershocks                                         | --
 x | film  | 1996 | Twister                                                        | --
 x | film  | 1996 | When We Were Kings                                             | --
 x | film  | 1997 | Alien Resurrection                                             | ♥
 x | film  | 1997 | Cube                                                           | --
 x | film  | 1997 | Flubber                                                        | --
 x | film  | 1997 | Gattaca                                                        | --
 x | film  | 1997 | George of the Jungle                                           | --
 x | film  | 1997 | Good Burger                                                    | --
 x | film  | 1997 | Good Will Hunting                                              | --
 x | film  | 1997 | Honey, We Shrunk Ourselves                                     | --
 x | film  | 1997 | Insomnia                                                       | ♥ ★★★★★
 x | film  | 1997 | Mortal Kombat: Annihilation                                    | --
 x | film  | 1997 | Spawn                                                          | --
 x | film  | 1997 | Starship Troopers                                              | --
 x | film  | 1997 | The Borrowers                                                  | --
 x | film  | 1997 | The Fifth Element                                              | --
 x | film  | 1997 | Titanic                                                        | --
 x | film  | 1998 | Armageddon                                                     | --
 x | film  | 1998 | Babe: Pig in the City                                          | --
 x | film  | 1998 | Pleasantville                                                  | --
 x | film  | 1998 | Small Soldiers                                                 | --
 x | film  | 1998 | The Big Lebowski                                               | ♥
 x | film  | 1998 | The Faculty                                                    | --
 x | film  | 1998 | The Parent Trap                                                | --
 x | film  | 1999 | Bicentennial Man                                               | --
